epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,240.347,0.48005,7.93187,0.42441,0.41291,1.04408,0.69271,0.96667,0.82952,0.47183,0.03432,0.06667,0.00706,0.00235,1.40116,7.43078,0.5348,1.30106,1.3547,0.001505,0.001505,0.001505
32,248.059,0.50606,8.02548,0.4215,0.4146,1.02871,0.84114,1,0.94822,0.74545,0.1131,0.13333,0.0335,0.0072,0.75288,7.50378,0.55785,0.91403,0.9217,0.0014885,0.0014885,0.0014885
33,255.684,0.48145,7.65075,0.41304,0.43348,1.03685,0.99626,1,0.995,0.81308,0.1706,0.16667,0.04583,0.00611,0.82095,7.19985,0.56269,0.83907,1.15846,0.001472,0.001472,0.001472
34,263.376,0.5041,7.35069,0.41911,0.44745,1.04229,0.96576,1,0.995,0.90135,0.08403,0.13333,0.03643,0.00624,0.55409,7.93194,0.5584,0.48613,0.80544,0.0014555,0.0014555,0.0014555
35,271.402,0.45683,7.26998,0.41047,0.40871,1.01426,0.93585,1,0.995,0.85327,0.12483,0.13333,0.03699,0.01126,0.49517,6.93545,0.56002,0.64601,0.7655,0.001439,0.001439,0.001439
36,279.108,0.4659,7.09353,0.41774,0.40707,1.01833,0.93259,1,0.98979,0.83343,0.15458,0.16667,0.07242,0.00967,0.56775,7.15337,0.55165,0.5867,0.76181,0.0014225,0.0014225,0.0014225
37,286.741,0.43538,6.87139,0.40845,0.40168,1.01172,0.98817,1,0.995,0.86907,0.32861,0.33333,0.1239,0.01799,0.57669,6.1143,0.51783,0.63052,0.83846,0.001406,0.001406,0.001406
38,294.427,0.42323,6.72389,0.40753,0.38036,0.98996,0.99531,1,0.995,0.89215,0.43126,0.43333,0.21221,0.05635,0.51753,5.45427,0.51022,0.40909,0.7942,0.0013895,0.0013895,0.0013895
39,302.464,0.43292,7.22609,0.40218,0.39184,0.99666,0.99788,1,0.995,0.95424,0.29984,0.3,0.17222,0.0551,0.36313,5.73661,0.50959,0.29053,0.65425,0.001373,0.001373,0.001373
40,310.555,0.44605,6.96824,0.39189,0.38616,1.01945,0.93636,1,0.99403,0.89307,0.31543,0.33333,0.15336,0.03532,0.40274,5.68596,0.49063,0.43264,0.69889,0.0013565,0.0013565,0.0013565
