epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,65195.7,0.9037,0.68879,1.00466,0.77788,0.81911,0.84069,0.61544,0.87523,0.63077,1.01577,0.000643101,0.000643101,0.000643101
43,66567.5,0.9029,0.68297,1.0057,0.77283,0.82519,0.84075,0.61543,0.87534,0.63083,1.01576,0.000628101,0.000628101,0.000628101
44,67952.9,0.90211,0.6781,1.00432,0.77311,0.82514,0.84076,0.61561,0.87522,0.63096,1.01575,0.000612981,0.000612981,0.000612981
45,69334.3,0.8988,0.66973,1.00237,0.77185,0.82758,0.84096,0.61545,0.87511,0.63108,1.01564,0.000597754,0.000597754,0.000597754
46,70703,0.89777,0.67252,1.00236,0.77467,0.82577,0.84133,0.61567,0.8749,0.63137,1.01542,0.000582435,0.000582435,0.000582435
47,72069.2,0.89661,0.66529,1.00287,0.77446,0.82564,0.84127,0.61575,0.8749,0.63154,1.01536,0.00056704,0.00056704,0.00056704
48,73431.4,0.89254,0.65892,1.00352,0.77492,0.82334,0.84112,0.61558,0.87472,0.63176,1.01537,0.000551584,0.000551584,0.000551584
49,74795.5,0.88997,0.65466,0.99832,0.77854,0.81956,0.84102,0.61561,0.87482,0.63204,1.01529,0.000536081,0.000536081,0.000536081
50,76171,0.88724,0.65181,0.99697,0.77554,0.82306,0.84065,0.61548,0.87461,0.63219,1.01521,0.000520548,0.000520548,0.000520548
51,77451.3,0.88881,0.64869,1.00212,0.77576,0.82213,0.84042,0.61546,0.87461,0.63284,1.01531,0.000505,0.000505,0.000505
