epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,22045.8,0.96774,0.81504,0.94169,0.76192,0.77783,0.80638,0.57166,0.87503,0.68025,0.91989,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,22750.5,0.96829,0.8151,0.94204,0.75863,0.77762,0.8077,0.57294,0.87526,0.6778,0.92048,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,23456.5,0.96255,0.80821,0.94048,0.76142,0.77865,0.8088,0.57466,0.87413,0.67568,0.92005,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,24161.1,0.96252,0.80238,0.94068,0.77037,0.77466,0.81022,0.57496,0.87327,0.67374,0.91978,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,24866.5,0.95977,0.79929,0.94078,0.76692,0.77987,0.81185,0.57689,0.87334,0.67188,0.92017,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,25573.6,0.959,0.79521,0.93958,0.76203,0.78915,0.81424,0.57843,0.872,0.66948,0.91976,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,26283.6,0.9589,0.79174,0.93916,0.76547,0.78818,0.81501,0.57807,0.8709,0.66933,0.91897,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,26991.3,0.95787,0.79368,0.93932,0.7672,0.78526,0.8134,0.57816,0.87081,0.66838,0.91909,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,27699.9,0.95653,0.78342,0.93728,0.76631,0.78472,0.81373,0.57846,0.87037,0.66742,0.91854,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,28407.5,0.95928,0.78906,0.93936,0.76003,0.78724,0.81409,0.57892,0.86992,0.66706,0.9185,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,29115.3,0.95372,0.78175,0.9373,0.76475,0.78489,0.81428,0.57912,0.87001,0.66598,0.9186,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,29821.5,0.95547,0.78132,0.93758,0.7562,0.79205,0.81454,0.57956,0.86991,0.66537,0.91861,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,30530.6,0.95328,0.77636,0.93622,0.75083,0.80093,0.81471,0.57976,0.86946,0.66556,0.91852,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,31236.4,0.95436,0.77464,0.93818,0.75589,0.79789,0.81543,0.58014,0.86928,0.66498,0.91855,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,31973.2,0.95377,0.77114,0.93644,0.76167,0.79255,0.81594,0.58064,0.86929,0.66479,0.91861,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,32682.1,0.95405,0.76623,0.93704,0.76429,0.78955,0.81609,0.58065,0.86911,0.66514,0.91846,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,33388.2,0.94957,0.76559,0.93547,0.76356,0.7925,0.81631,0.58078,0.86925,0.6649,0.91838,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,34094.6,0.95127,0.76414,0.93672,0.76279,0.79365,0.81648,0.58099,0.86926,0.6646,0.91839,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,34801,0.94981,0.75724,0.9357,0.761,0.79761,0.81696,0.58134,0.86908,0.66408,0.9184,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,35508.3,0.95139,0.75979,0.93724,0.76021,0.79725,0.81724,0.58145,0.86903,0.66402,0.91827,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
