epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,23292.4,1.14599,0.82394,0.00355,0.75698,0.78103,0.81148,0.57739,0.9977,0.68547,0.00483,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,24034.1,1.14653,0.81758,0.00355,0.76445,0.79051,0.8161,0.58102,0.99719,0.68366,0.00484,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,24778.2,1.1408,0.812,0.00353,0.77675,0.77708,0.8172,0.58297,0.99436,0.68319,0.00481,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,25518.6,1.14101,0.80951,0.00355,0.77463,0.76846,0.81619,0.5821,0.99412,0.68687,0.00482,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,26260.5,1.13795,0.81011,0.00352,0.77234,0.77713,0.81683,0.5827,0.99392,0.68655,0.00481,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,27001.9,1.13839,0.80129,0.00351,0.76768,0.78454,0.81694,0.58332,0.99347,0.68578,0.00481,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,27743.8,1.13869,0.80378,0.00353,0.77152,0.78261,0.81848,0.58349,0.99212,0.68361,0.0048,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,28483.6,1.14005,0.80873,0.00352,0.77434,0.77776,0.81825,0.58433,0.99112,0.68359,0.00479,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,29224.8,1.13747,0.79869,0.00351,0.77333,0.77488,0.81739,0.58415,0.9901,0.6822,0.00478,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,29964.4,1.14252,0.80187,0.00355,0.77677,0.77795,0.81895,0.58504,0.98904,0.68332,0.00478,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,30736,1.13481,0.79276,0.00351,0.77039,0.78648,0.81933,0.58559,0.98907,0.68282,0.00479,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,31475.2,1.13643,0.7936,0.00349,0.77636,0.78603,0.82041,0.5862,0.98858,0.68327,0.00478,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,32215.4,1.13313,0.7859,0.00347,0.78266,0.78011,0.81958,0.58551,0.98802,0.68249,0.00476,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,32955.5,1.13657,0.78505,0.00353,0.779,0.78263,0.82026,0.58677,0.98726,0.68297,0.00476,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,33695.5,1.13239,0.78161,0.00349,0.78219,0.77788,0.82028,0.5867,0.98615,0.68276,0.00475,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,34438.9,1.13394,0.78156,0.00351,0.77692,0.78285,0.82,0.58672,0.98581,0.68224,0.00475,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,35180.1,1.12995,0.77883,0.00348,0.77162,0.78698,0.81953,0.58631,0.98572,0.68307,0.00475,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,35922,1.1328,0.78319,0.00352,0.77443,0.78315,0.82097,0.58721,0.9858,0.6822,0.00475,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,36660.9,1.12942,0.77231,0.00349,0.77403,0.78402,0.82094,0.5873,0.98528,0.68253,0.00475,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,37399.9,1.13162,0.77864,0.00352,0.78631,0.77389,0.82128,0.58783,0.98526,0.6818,0.00475,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,38140.4,1.13214,0.76589,0.0035,0.77807,0.78481,0.82148,0.58811,0.98475,0.68177,0.00475,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,38880.8,1.13145,0.76908,0.00348,0.77816,0.78558,0.82202,0.58868,0.98491,0.68103,0.00474,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,39619.9,1.12996,0.76852,0.00351,0.7835,0.78064,0.82162,0.58831,0.98473,0.68147,0.00474,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,40390.5,1.12922,0.76169,0.00349,0.78365,0.77764,0.82158,0.58817,0.98461,0.68123,0.00474,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,41130.2,1.1303,0.76108,0.00348,0.78203,0.78126,0.82201,0.58862,0.98471,0.68135,0.00474,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,41869.4,1.12717,0.75679,0.0035,0.77876,0.78296,0.82176,0.58875,0.98447,0.68175,0.00474,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,42607.9,1.12757,0.74891,0.00347,0.78061,0.78084,0.82166,0.58863,0.98471,0.68168,0.00474,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,43346.4,1.12899,0.7506,0.00348,0.77838,0.78367,0.82154,0.58873,0.98448,0.68212,0.00474,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,44086,1.1287,0.74843,0.0035,0.78142,0.78217,0.82151,0.58846,0.98461,0.68203,0.00474,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,44827,1.12886,0.75384,0.0035,0.78369,0.77844,0.82119,0.5884,0.98425,0.68294,0.00474,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,45566.4,1.13063,0.74755,0.00348,0.78592,0.7772,0.82069,0.58779,0.98441,0.68297,0.00474,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,46309.4,1.1265,0.74053,0.00348,0.7887,0.77573,0.82138,0.58863,0.98364,0.68381,0.00474,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,47050.4,1.1297,0.74302,0.00347,0.78664,0.77653,0.8211,0.58872,0.98338,0.68525,0.00474,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,47792.4,1.12557,0.73566,0.00347,0.7844,0.77945,0.821,0.58867,0.98336,0.68535,0.00473,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,48534.6,1.12297,0.7332,0.00345,0.78792,0.77552,0.82033,0.58839,0.98308,0.68655,0.00473,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,49283,1.12631,0.73599,0.00347,0.78466,0.77897,0.82022,0.58807,0.98297,0.68729,0.00474,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,50017.5,1.1272,0.73455,0.0035,0.7832,0.77864,0.82011,0.5882,0.98262,0.68761,0.00473,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,50755.2,1.12451,0.72891,0.00346,0.78117,0.78087,0.81974,0.58771,0.98265,0.68806,0.00473,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,51490.4,1.12678,0.7271,0.00347,0.77727,0.78204,0.81931,0.58753,0.98268,0.68813,0.00473,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,52225.3,1.12296,0.72648,0.00348,0.77698,0.78225,0.81936,0.5876,0.9826,0.68815,0.00473,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,52965.1,1.125,0.72222,0.00347,0.78175,0.77903,0.81907,0.58725,0.98243,0.68859,0.00473,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,53699.6,1.12617,0.72274,0.00348,0.78479,0.77829,0.81866,0.587,0.98236,0.68955,0.00473,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,54438.2,1.12288,0.72288,0.00347,0.78542,0.77841,0.81917,0.58755,0.98255,0.68969,0.00473,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,55175.9,1.12305,0.71844,0.00347,0.78473,0.77792,0.81829,0.58726,0.98225,0.69096,0.00473,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,55910.2,1.12202,0.71672,0.00344,0.78261,0.77936,0.81788,0.58678,0.98184,0.6911,0.00473,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,56645.1,1.11745,0.71352,0.00345,0.77945,0.78057,0.81758,0.58686,0.98166,0.69173,0.00472,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
